casename,whole tumor,tumor core,enhancing tumor
BRATS_33615,0.9118,0.8674,0.8715
BRATS_33616,0.9078,0.8785,0.8958
BRATS_33617,0.9000,0.8593,0.8675
BRATS_33618,0.9057,0.8439,0.8375
BRATS_33619,0.9232,0.8862,0.8770
BRATS_33768,0.9104,0.8615,0.8765
BRATS_33769,0.8898,0.8463,0.8985
BRATS_33770,0.8941,0.8508,0.8764
BRATS_33771,0.8884,0.8464,0.8804
BRATS_33772,0.8819,0.8312,0.8741
BRATS_33773,0.8726,0.8334,0.8913
BRATS_33774,0.8609,0.8291,0.9046
BRATS_33775,0.8563,0.8260,0.9069
BRATS_33776,0.8946,0.8674,0.8969
BRATS_33777,0.9140,0.8846,0.8885
BRATS_33778,0.9260,0.9023,0.8923
BRATS_33779,0.9102,0.8916,0.9048
BRATS_33780,0.8939,0.8768,0.8918
BRATS_33781,0.8888,0.8774,0.9192
BRATS_33782,0.8920,0.8898,0.9412
BRATS_33783,0.8658,0.8623,0.9137
BRATS_33784,0.7811,0.7736,0.8165
BRATS_33785,0.7570,0.7532,0.7136
BRATS_33786,0.7974,0.7974,0.7273
BRATS_33787,0.8304,0.8304,0.5789
BRATS_33936,0.8526,0.6309,0.6730
BRATS_33937,0.8547,0.6507,0.6803
BRATS_33938,0.8488,0.7261,0.6815
BRATS_33939,0.8522,0.7294,0.7002
BRATS_33940,0.8335,0.7161,0.6916
BRATS_33941,0.8213,0.7062,0.7380
BRATS_33942,0.8460,0.7054,0.7500
BRATS_33943,0.8270,0.6928,0.7401
BRATS_33944,0.7613,0.6482,0.7245
BRATS_33945,0.7596,0.6206,0.6947
BRATS_33946,0.7445,0.5685,0.6692
BRATS_33947,0.7431,0.5710,0.6608
BRATS_33948,0.7982,0.5699,0.7085
BRATS_33949,0.7875,0.5619,0.6829
BRATS_33950,0.7729,0.5703,0.7190
BRATS_33951,0.7665,0.5785,0.7418
BRATS_33952,0.7221,0.5527,0.7287
BRATS_33953,0.7715,0.5590,0.7518
BRATS_33954,0.8363,0.6125,0.7950
BRATS_33955,0.8236,0.5519,0.8023
BRATS_34104,nan,nan,nan
BRATS_34105,nan,nan,nan
BRATS_34106,0.0000,0.0000,0.0000
BRATS_34107,nan,nan,nan
BRATS_34108,nan,nan,nan
BRATS_34109,nan,nan,nan
BRATS_34110,nan,nan,nan
BRATS_34111,nan,nan,nan
BRATS_34112,nan,nan,nan
BRATS_34113,0.0000,0.0000,nan
BRATS_34114,0.0000,0.0000,nan
BRATS_34115,0.0000,0.0000,nan
BRATS_34116,0.0000,0.0000,nan
BRATS_34117,0.0000,0.0000,nan
BRATS_34118,0.0000,0.0000,nan
BRATS_34119,0.0000,0.0000,nan
BRATS_34120,0.0000,0.0000,nan
BRATS_34121,0.0000,0.0000,nan
BRATS_34122,0.0000,0.0000,nan
BRATS_34123,0.0000,0.0000,nan
BRATS_34272,0.7824,0.6602,0.8961
BRATS_34273,0.7955,0.6702,0.9037
BRATS_34274,0.8017,0.6856,0.9269
BRATS_34275,0.8129,0.6795,0.9213
BRATS_34276,0.8161,0.6777,0.9013
BRATS_34277,0.8125,0.6566,0.8903
BRATS_34278,0.7988,0.6599,0.8852
BRATS_34279,0.8034,0.6797,0.8983
BRATS_34280,0.8032,0.6900,0.9040
BRATS_34281,0.7869,0.6738,0.8929
BRATS_34282,0.7787,0.6779,0.8866
BRATS_34283,0.7825,0.6751,0.8740
BRATS_34284,0.7886,0.6843,0.8666
BRATS_34285,0.8085,0.7255,0.8776
BRATS_34286,0.8446,0.7744,0.8918
BRATS_34287,0.8450,0.7745,0.8907
BRATS_34288,0.8349,0.7629,0.8889
BRATS_34289,0.8331,0.7557,0.8796
BRATS_34290,0.8271,0.7484,0.8755
BRATS_34291,0.8271,0.7514,0.8840
BRATS_34440,nan,nan,nan
BRATS_34441,nan,nan,nan
BRATS_34442,nan,nan,nan
BRATS_34443,nan,nan,nan
BRATS_34444,nan,nan,nan
BRATS_34445,nan,nan,nan
BRATS_34446,nan,nan,nan
BRATS_34447,nan,nan,nan
BRATS_34448,nan,nan,nan
BRATS_34449,nan,nan,nan
BRATS_34450,0.0000,0.0000,nan
BRATS_34451,0.0000,0.0000,nan
BRATS_34452,0.0000,0.0000,nan
BRATS_34453,0.0000,0.0000,nan
BRATS_34454,0.0000,0.0000,nan
BRATS_34455,0.0000,0.0000,nan
BRATS_34456,0.0000,0.0000,nan
BRATS_34457,0.0000,0.0000,nan
BRATS_34458,0.0000,0.0000,nan
BRATS_34459,0.0561,0.0561,nan
BRATS_34608,0.0000,0.0000,nan
BRATS_34609,0.0000,0.0000,nan
BRATS_34610,0.0000,0.0000,nan
BRATS_34611,0.0000,0.0000,nan
BRATS_34612,0.0518,0.0518,nan
BRATS_34613,0.0973,0.0973,nan
BRATS_34614,0.3125,0.3125,nan
BRATS_34615,0.3174,0.3174,nan
BRATS_34616,0.4520,0.4520,nan
BRATS_34617,0.5186,0.5186,nan
BRATS_34618,0.5735,0.5735,nan
BRATS_34619,0.6274,0.6274,nan
BRATS_34620,0.6997,0.6997,0.0000
BRATS_34621,0.7311,0.7311,0.5385
BRATS_34622,0.7291,0.7291,0.6667
BRATS_34623,0.8109,0.8055,0.7703
BRATS_34624,0.8767,0.8516,0.8651
BRATS_34625,0.8601,0.8369,0.8872
BRATS_34626,0.8627,0.8437,0.9142
BRATS_34627,0.8460,0.8238,0.8854
BRATS_34776,0.8432,0.8080,0.8693
BRATS_34777,0.8560,0.8258,0.8832
BRATS_34778,0.8678,0.8320,0.8646
BRATS_34779,0.8886,0.8673,0.8986
BRATS_34780,0.8910,0.8688,0.9167
BRATS_34781,0.8800,0.8592,0.9200
BRATS_34782,0.8566,0.8334,0.9199
BRATS_34783,0.8357,0.8116,0.8978
BRATS_34784,0.8213,0.8010,0.9163
BRATS_34785,0.8261,0.8096,0.9194
BRATS_34786,0.8068,0.7917,0.9444
BRATS_34787,0.7852,0.7728,0.9068
BRATS_34788,0.7740,0.7647,0.9156
BRATS_34789,0.7780,0.7713,0.9010
BRATS_34790,0.7998,0.7956,0.9114
BRATS_34791,0.8127,0.8090,0.7677
BRATS_34792,0.7630,0.7630,0.5581
BRATS_34793,0.6780,0.6780,0.0000
BRATS_34794,0.6767,0.6767,nan
BRATS_34795,0.6905,0.6905,nan
BRATS_34944,nan,nan,nan
BRATS_34945,nan,nan,nan
BRATS_34946,0.0000,0.0000,0.0000
BRATS_34947,0.0000,0.0000,0.0000
BRATS_34948,0.0000,0.0000,0.0000
BRATS_34949,0.0000,0.0000,nan
BRATS_34950,0.0000,0.0000,nan
BRATS_34951,0.0000,0.0000,nan
BRATS_34952,0.0000,0.0000,nan
BRATS_34953,0.0000,0.0000,nan
BRATS_34954,0.0000,0.0000,nan
BRATS_34955,0.0000,0.0000,nan
BRATS_34956,0.0000,0.0000,nan
BRATS_34957,0.0124,0.0124,nan
BRATS_34958,0.0104,0.0104,nan
BRATS_34959,0.0784,0.0784,nan
BRATS_34960,0.0000,0.0000,nan
BRATS_34961,0.0068,0.0068,nan
BRATS_34962,0.4565,0.4565,0.0000
BRATS_34963,0.7002,0.7002,0.8947
BRATS_35112,0.9030,0.9030,nan
BRATS_35113,0.9103,0.9103,nan
BRATS_35114,0.9045,0.9045,nan
BRATS_35115,0.9270,0.9270,nan
BRATS_35116,0.9157,0.9132,0.0000
BRATS_35117,0.9074,0.8983,0.0000
BRATS_35118,0.8636,0.8636,0.0000
BRATS_35119,0.8333,0.8333,nan
BRATS_35120,0.8002,0.8059,0.0000
BRATS_35121,0.8048,0.8176,0.6667
BRATS_35122,0.8028,0.8271,0.8657
BRATS_35123,0.8347,0.8174,0.7613
BRATS_35124,0.8831,0.8396,0.9048
BRATS_35125,0.8862,0.8499,0.9016
BRATS_35126,0.8980,0.8531,0.8418
BRATS_35127,0.9093,0.8823,0.8599
BRATS_35128,0.9212,0.8801,0.8552
BRATS_35129,0.9213,0.8938,0.8809
BRATS_35130,0.9156,0.8838,0.8602
BRATS_35131,0.9159,0.8802,0.8148
mean,0.5827,0.5460,0.6654
median,0.7673,0.6796,0.8105
mean (nan is 1),0.6266,0.5938,0.8001
median (nan is 1),0.7963,0.7144,0.8915
